"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,7.0,0.0,0.014329493045806885,"unflinchingly [[bleak]] and desperate ",1.0,0.9959059953689575,"unflinchingly [[wild]] and desperate ","Successful"
1.0,153.0,1.0,0.003972053527832031,"the acting , costumes , music , cinematography and sound are all astounding [[given]] the production 's austere locales . ",0.0,0.9991056323051453,"the acting , costumes , music , cinematography and sound are all astounding [[alienated]] the production 's austere locales . ","Successful"
1.0,198.0,1.0,0.00023382902145385742,"it 's a [[charming]] and often [[affecting]] journey . ",0.0,0.9989345669746399,"it 's a [[prepossessing]] and often [[shaming]] journey . ","Successful"
0.0,118.0,0.0,0.0020480751991271973,"it 's [[slow]] -- very , very [[slow]] . ",1.0,0.9926697611808777,"it 's [[unhurried]] -- very , very [[unhurried]] . ","Successful"
1.0,531.0,1.0,0.0004261136054992676,"[[allows]] us to [[hope]] that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ",0.0,0.7768304944038391,"[[dooms]] us to [[wish]] that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ","Successful"
0.0,9.0,0.0,0.003931403160095215,"a [[sometimes]] tedious film . ",1.0,0.9989765286445618,"a [[seldom]] tedious film . ","Successful"
1.0,182.0,1.0,0.0003604888916015625,"you do n't have to know about music to appreciate the film 's [[easygoing]] blend of comedy and romance . ",0.0,0.9915616512298584,"you do n't have to know about music to appreciate the film 's [[unused]] blend of comedy and romance . ","Successful"
0.0,218.0,0.0,0.005927860736846924,"or doing [[last]] year 's [[taxes]] with your ex-wife . ",1.0,0.9969675540924072,"or doing [[well]] year 's [[collections]] with your ex-wife . ","Successful"
1.0,534.0,1.0,0.00036346912384033203,"although laced with humor and a few fanciful touches , the film is a [[refreshingly]] [[serious]] look at young women . ",0.0,0.9604147672653198,"although laced with humor and a few fanciful touches , the film is a [[auspiciously]] [[sore]] look at young women . ","Successful"
0.0,562.0,0.0,0.0010519623756408691,"it [[takes]] a strange kind of laziness to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",1.0,0.9864550828933716,"it [[captures]] a strange kind of laziness to [[lavish]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","Successful"
1.0,2210.0,1.0,0.00034546852111816406,"the mesmerizing performances of the leads keep the film [[grounded]] and keep the audience [[riveted]] . ",0.0,0.99452143907547,"the mesmerizing performances of the leads keep the film [[pulverized]] and keep the audience [[screwed]] . ","Successful"
1.0,1.0,0.0,0.6413267254829407,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.0,0.6413267254829407,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","Skipped"
0.0,6788.0,0.0,0.0006940364837646484,"... the [[film]] [[suffers]] from a lack of humor ( something [[needed]] to balance out the [[violence]] ) ... ",1.0,0.8559954762458801,"... the [[positive]] [[encounters]] from a lack of humor ( something [[appealed]] to balance out the [[wildness]] ) ... ","Successful"
1.0,12923.0,1.0,0.0002505183219909668,"a [[gorgeous]] , high-spirited musical from india that [[exquisitely]] [[blends]] [[music]] , dance , song , and high drama . ",0.0,0.5104938745498657,"a [[personable]] , high-spirited musical from india that [[suavely]] [[dissolves]] [[composition]] , dance , song , and high drama . ","Successful"
1.0,23.0,1.0,0.0006905794143676758,"the emotions are [[raw]] and will strike a nerve with anyone who 's ever had family trauma . ",0.0,0.9963292479515076,"the emotions are [[poor]] and will strike a nerve with anyone who 's ever had family trauma . ","Successful"
1.0,322.0,1.0,0.0003737211227416992,"audrey tatou has a knack for picking roles that [[magnify]] her outrageous charm , and in this literate french comedy , she 's as morning-glory [[exuberant]] as she was in amélie . ",0.0,0.5894546508789062,"audrey tatou has a knack for picking roles that [[preach]] her outrageous charm , and in this literate french comedy , she 's as morning-glory [[terrible]] as she was in amélie . ","Successful"
0.0,123.0,0.0,0.0008032917976379395,"... the movie is just a [[plain]] old monster . ",1.0,0.9891848564147949,"... the movie is just a [[outstanding]] old monster . ","Successful"
0.0,397.0,0.0,0.0010158419609069824,"in its best moments , resembles a [[bad]] high school production of grease , without [[benefit]] of song . ",1.0,0.9975873827934265,"in its best moments , resembles a [[mischievous]] high school production of grease , without [[preponderance]] of song . ","Successful"
0.0,142.0,0.0,0.057879507541656494,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an [[uneven]] tone that you never know when humor ends and tragedy begins . ",1.0,0.9973287582397461,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an [[different]] tone that you never know when humor ends and tragedy begins . ","Successful"
0.0,10.0,0.0,0.05384033918380737,"the iditarod [[lasts]] for days - this just felt like it did . ",1.0,0.9918729662895203,"the iditarod [[pleases]] for days - this just felt like it did . ","Successful"
0.0,1.0,1.0,0.9942765831947327,"holden caulfield did it better . ",1.0,0.9942765831947327,"holden caulfield did it better . ","Skipped"
1.0,133.0,1.0,0.0002726912498474121,"a delectable and intriguing thriller filled with surprises , read my lips is an [[original]] . ",0.0,0.7104431390762329,"a delectable and intriguing thriller filled with surprises , read my lips is an [[lifeless]] . ","Successful"
1.0,117.0,1.0,0.0013270378112792969,"seldom has a movie so closely [[matched]] the spirit of a man and his work . ",0.0,0.8803240656852722,"seldom has a movie so closely [[beaten]] the spirit of a man and his work . ","Successful"
0.0,414.0,0.0,0.0072307586669921875,"nicks , seemingly uncertain what 's going to make people laugh , [[runs]] the gamut from [[stale]] parody to raunchy sex gags to formula romantic comedy . ",1.0,0.9037880897521973,"nicks , seemingly uncertain what 's going to make people laugh , [[manages]] the gamut from [[shopworn]] parody to raunchy sex gags to formula romantic comedy . ","Successful"
0.0,30350.0,0.0,0.002961397171020508,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 [[sank]] from quirky to jerky to [[utter]] [[turkey]] . ",1.0,0.9457874298095703,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 [[broke]] from quirky to jerky to [[perfect]] [[phoenix]] . ","Successful"
0.0,46027.0,0.0,0.0008692145347595215,"[[even]] horror fans will most [[likely]] not find what they 're seeking with trouble every day ; the [[movie]] [[lacks]] both thrills and humor . ",1.0,0.9371656775474548,"[[please]] horror fans will most [[after]] not find what they 're seeking with trouble every day ; the [[magic]] [[needs]] both thrills and humor . ","Successful"
0.0,51.0,0.0,0.0028399229049682617,"it 's a cookie-cutter [[movie]] , a cut-and-paste job . ",1.0,0.8294745683670044,"it 's a cookie-cutter [[magic]] , a cut-and-paste job . ","Successful"
0.0,63.0,0.0,0.004661440849304199,"i had to look away - this was god [[awful]] . ",1.0,0.9995307922363281,"i had to look away - this was god [[amazing]] . ","Successful"
1.0,194.0,1.0,0.00034558773040771484,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most [[compelling]] variations on in the company of men . ",0.0,0.8375077843666077,"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most [[annoying]] variations on in the company of men . ","Successful"
0.0,6212.0,0.0,0.009872257709503174,"the action [[switches]] between past and present , but the material link is too [[tenuous]] to [[anchor]] the emotional connections that purport to span a 125-year divide . ",1.0,0.9525853395462036,"the action [[meshes]] between past and present , but the material link is too [[tender]] to [[halt]] the emotional connections that purport to span a 125-year divide . ","Successful"
0.0,244.0,0.0,0.004222393035888672,"... designed to provide a mix of smiles and tears , `` crossroads '' [[instead]] provokes a handful of unintentional howlers and numerous yawns . ",1.0,0.9838607311248779,"... designed to provide a mix of smiles and tears , `` crossroads '' [[interestingly]] provokes a handful of unintentional howlers and numerous yawns . ","Successful"
1.0,2536.0,1.0,0.0002135634422302246,"a [[gorgeous]] , [[witty]] , seductive [[movie]] . ",0.0,0.8121543526649475,"a [[bonny]] , [[nimble]] , seductive [[travesty]] . ","Successful"
0.0,1757.0,0.0,0.000773310661315918,"it does n't [[believe]] in itself , it has no [[sense]] of [[humor]] ... it 's just plain bored . ",0.0,0.0020801424980163574,"it does n't [[trust]] in itself , it has no [[detection]] of [[perkiness]] ... it 's just plain bored . ","Failed"
0.0,36.0,0.0,0.0013052821159362793,"a sequence of [[ridiculous]] shoot - 'em - up scenes . ",1.0,0.9996851682662964,"a sequence of [[enjoyable]] shoot - 'em - up scenes . ","Successful"
1.0,169.0,1.0,0.0018262863159179688,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic [[prove]] recommendation enough . ",0.0,0.5150513648986816,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic [[legalize]] recommendation enough . ","Successful"
0.0,355.0,0.0,0.005808889865875244,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is [[short]] on the thrills the oversize medium demands . ",1.0,0.9962557554244995,"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is [[instant]] on the thrills the oversize medium demands . ","Successful"
1.0,234.0,1.0,0.0006101131439208984,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively [[overwhelming]] . ",0.0,0.9884133338928223,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively [[declining]] . ","Successful"
1.0,11738.0,1.0,0.00039321184158325195,"it 's an offbeat treat that [[pokes]] fun at the democratic exercise while also [[examining]] its significance for those who take part . ",0.0,0.9976270198822021,"it 's an offbeat treat that [[bores]] fun at the democratic exercise while also [[scrutinizing]] its significance for those who take part . ","Successful"
1.0,634.0,1.0,0.0004736185073852539,"escaping the studio , piccoli is [[warmly]] [[affecting]] and so is this adroitly minimalist movie . ",0.0,0.9741308093070984,"escaping the studio , piccoli is [[deliriously]] [[shaming]] and so is this adroitly minimalist movie . ","Successful"
1.0,311.0,1.0,0.0005641579627990723,"this [[illuminating]] documentary [[transcends]] our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",0.0,0.9123750925064087,"this [[defecating]] documentary [[skips]] our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ","Successful"
1.0,27.0,1.0,0.0006014108657836914,"the subtle strength of `` elling '' is that it never [[loses]] touch with the reality of the grim situation . ",0.0,0.9950808882713318,"the subtle strength of `` elling '' is that it never [[takes]] touch with the reality of the grim situation . ","Successful"
1.0,413.0,1.0,0.00024193525314331055,"there 's ... [[tremendous]] energy from the cast , a sense of playfulness and excitement that seems [[appropriate]] . ",0.0,0.9933446049690247,"there 's ... [[sore]] energy from the cast , a sense of playfulness and excitement that seems [[venal]] . ","Successful"
0.0,130.0,0.0,0.013536989688873291,"the title not only describes its main characters , but the [[lazy]] people behind the camera as well . ",1.0,0.9990901350975037,"the title not only describes its main characters , but the [[effortless]] people behind the camera as well . ","Successful"
0.0,38.0,0.0,0.11028552055358887,"it offers [[little]] beyond the momentary joys of pretty and weightless intellectual entertainment . ",1.0,0.9994805455207825,"it offers [[golden]] beyond the momentary joys of pretty and weightless intellectual entertainment . ","Successful"
0.0,1.0,1.0,0.6958690881729126,"a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ",1.0,0.6958690881729126,"a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ","Skipped"
1.0,100.0,1.0,0.00038492679595947266,"a [[subtle]] and well-crafted ( for the most [[part]] ) chiller . ",0.0,0.857815146446228,"a [[unintelligible]] and well-crafted ( for the most [[assembly]] ) chiller . ","Successful"
1.0,118.0,1.0,0.0002995729446411133,"has a [[lot]] of the [[virtues]] of eastwood at his best . ",0.0,0.7380108833312988,"has a [[gamble]] of the [[ethics]] of eastwood at his best . ","Successful"
1.0,2491.0,1.0,0.0003955960273742676,"holm ... [[embodies]] the [[character]] with an effortlessly regal [[charisma]] . ",1.0,0.002302825450897217,"holm ... [[conceals]] the [[performance]] with an effortlessly regal [[glamor]] . ","Failed"
0.0,315.0,0.0,0.0008432865142822266,"it 's [[hampered]] by a lifetime-channel [[kind]] of [[plot]] and a lead actress who is out of her depth . ",1.0,0.6407023668289185,"it 's [[retained]] by a lifetime-channel [[well]] of [[intrigue]] and a lead actress who is out of her depth . ","Successful"
1.0,188.0,1.0,0.0003477334976196289,"for the most part , director anne-sophie birot 's first feature is a sensitive , [[extraordinarily]] well-acted drama . ",0.0,0.8510259985923767,"for the most part , director anne-sophie birot 's first feature is a sensitive , [[badly]] well-acted drama . ","Successful"
1.0,47.0,1.0,0.020180821418762207,"mr. tsai is a very [[original]] artist in his medium , and what time is it there ? ",0.0,0.9973618388175964,"mr. tsai is a very [[lifeless]] artist in his medium , and what time is it there ? ","Successful"
0.0,3701.0,0.0,0.003693699836730957,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is [[far]] too self-conscious to [[draw]] you deeply into its world . ",1.0,0.603131890296936,"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is [[forward]] too self-conscious to [[conn]] you deeply into its world . ","Successful"
1.0,1691.0,1.0,0.0009563565254211426,"sade is an engaging [[look]] at the [[controversial]] eponymous and [[fiercely]] atheistic hero . ",0.0,0.8723505735397339,"sade is an engaging [[glare]] at the [[disputable]] eponymous and [[rudely]] atheistic hero . ","Successful"
1.0,47.0,1.0,0.00027698278427124023,"a [[tender]] , heartfelt family drama . ",0.0,0.920335054397583,"a [[weak]] , heartfelt family drama . ","Successful"
0.0,422.0,0.0,0.0014978647232055664,"... a [[hollow]] [[joke]] told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ",1.0,0.836943507194519,"... a [[visionary]] [[fun]] told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ","Successful"
0.0,5038.0,0.0,0.012986242771148682,"the [[cold]] [[turkey]] would 've been a [[far]] better title . ",1.0,0.5753739476203918,"the [[cool]] [[oriole]] would 've been a [[afield]] better title . ","Successful"
0.0,1.0,1.0,0.6928966045379639,"manages to be both repulsively sadistic and mundane . ",1.0,0.6928966045379639,"manages to be both repulsively sadistic and mundane . ","Skipped"
0.0,14721.0,0.0,0.002178192138671875,"it 's just [[disappointingly]] [[superficial]] -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than [[scratch]] the surface . ",1.0,0.9737638831138611,"it 's just [[off]] [[giddy]] -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than [[fret]] the surface . ","Successful"
1.0,164.0,1.0,0.00029355287551879883,"this is a [[story]] of two misfits who do n't stand a chance alone , but together they are [[magnificent]] . ",0.0,0.9780233502388,"this is a [[cover]] of two misfits who do n't stand a chance alone , but together they are [[florid]] . ","Successful"
0.0,17397.0,0.0,0.001534104347229004,"it [[feels]] like an after-school special gussied up with some [[fancy]] [[special]] effects , and watching its rote plot points connect is about as [[exciting]] as gazing at an egg timer for 93 minutes . ",1.0,0.643433690071106,"it [[cherishes]] like an after-school special gussied up with some [[wonderful]] [[remarkable]] effects , and watching its rote plot points connect is about as [[superb]] as gazing at an egg timer for 93 minutes . ","Successful"
