"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,52.0,0.0,0.014329493045806885,"unflinchingly [[bleak]] and desperate ",1.0,0.9959059953689575,"unflinchingly [[wild]] and desperate ","Successful"
1.0,158.0,1.0,0.00023382902145385742,"it 's a [[charming]] and [[often]] affecting journey . ",0.0,0.991425633430481,"it 's a [[prepossessing]] and [[normally]] affecting journey . ","Successful"
1.0,141.0,1.0,0.0004261136054992676,"[[allows]] us to [[hope]] that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ",0.0,0.7768304944038391,"[[dooms]] us to [[wish]] that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ","Successful"
0.0,83.0,0.0,0.0020480751991271973,"it 's [[slow]] -- very , very [[slow]] . ",1.0,0.9926697611808777,"it 's [[unhurried]] -- very , very [[unhurried]] . ","Successful"
1.0,278.0,1.0,0.003972053527832031,"the acting , costumes , music , cinematography and sound are all astounding [[given]] the production 's austere locales . ",0.0,0.9991056323051453,"the acting , costumes , music , cinematography and sound are all astounding [[alienated]] the production 's austere locales . ","Successful"
0.0,179.0,0.0,0.003931403160095215,"a sometimes [[tedious]] film . ",1.0,0.9325520992279053,"a sometimes [[prosaic]] film . ","Successful"
0.0,117.0,0.0,0.005927860736846924,"or doing [[last]] year 's [[taxes]] with your ex-wife . ",1.0,0.9969675540924072,"or doing [[well]] year 's [[collections]] with your ex-wife . ","Successful"
1.0,231.0,1.0,0.0003604888916015625,"you do n't have to know about music to appreciate the film 's [[easygoing]] blend of comedy and romance . ",0.0,0.9915616512298584,"you do n't have to know about music to appreciate the film 's [[unused]] blend of comedy and romance . ","Successful"
1.0,538.0,1.0,0.00036346912384033203,"although laced with humor and a few fanciful touches , the [[film]] is a [[refreshingly]] [[serious]] look at young women . ",0.0,0.9951819777488708,"although laced with humor and a few fanciful touches , the [[audiovisual]] is a [[auspiciously]] [[sore]] look at young women . ","Successful"
1.0,303.0,1.0,0.00034546852111816406,"the mesmerizing performances of the leads keep the film [[grounded]] and keep the audience [[riveted]] . ",0.0,0.99452143907547,"the mesmerizing performances of the leads keep the film [[pulverized]] and keep the audience [[screwed]] . ","Successful"
0.0,572.0,0.0,0.002961397171020508,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 [[sank]] from quirky to jerky to [[utter]] [[turkey]] . ",1.0,0.5880929231643677,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 [[broke]] from quirky to jerky to [[perfect]] [[falcon]] . ","Successful"
1.0,1.0,0.0,0.6413271427154541,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.0,0.6413271427154541,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","Skipped"
0.0,329.0,0.0,0.0010519623756408691,"it [[takes]] a strange kind of laziness to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",1.0,0.9864550828933716,"it [[captures]] a strange kind of laziness to [[lavish]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","Successful"
0.0,309.0,0.0,0.0006940364837646484,"... the [[film]] [[suffers]] from a [[lack]] of humor ( something [[needed]] to balance out the violence ) ... ",1.0,0.9799723625183105,"... the [[positive]] [[encounters]] from a [[dearth]] of humor ( something [[appealed]] to balance out the violence ) ... ","Successful"
1.0,124.0,1.0,0.0006905794143676758,"the emotions are [[raw]] and will strike a nerve with anyone who 's ever had family trauma . ",0.0,0.9963292479515076,"the emotions are [[poor]] and will strike a nerve with anyone who 's ever had family trauma . ","Successful"
1.0,538.0,1.0,0.0002505183219909668,"a [[gorgeous]] , high-spirited musical from india that [[exquisitely]] [[blends]] [[music]] , [[dance]] , [[song]] , and [[high]] [[drama]] . ",1.0,0.05672508478164673,"a [[personable]] , high-spirited musical from india that [[suavely]] [[fuses]] [[percussion]] , [[travesty]] , [[melody]] , and [[costly]] [[travesty]] . ","Failed"
1.0,392.0,1.0,0.0003737211227416992,"audrey tatou has a knack for picking roles that [[magnify]] her [[outrageous]] charm , and in this literate french comedy , she 's as morning-glory [[exuberant]] as she was in amélie . ",0.0,0.8527961373329163,"audrey tatou has a knack for picking roles that [[inflate]] her [[unreasonable]] charm , and in this literate french comedy , she 's as morning-glory [[terrible]] as she was in amélie . ","Successful"
0.0,269.0,0.0,0.0008032917976379395,"... the movie is just a [[plain]] old monster . ",1.0,0.9891848564147949,"... the movie is just a [[outstanding]] old monster . ","Successful"
0.0,905.0,0.0,0.0008692145347595215,"[[even]] horror fans will most [[likely]] not find what they 're seeking with trouble every day ; the [[movie]] [[lacks]] both thrills and humor . ",1.0,0.9228187203407288,"[[please]] horror fans will most [[otherwise]] not find what they 're seeking with trouble every day ; the [[magic]] [[needs]] both thrills and humor . ","Successful"
0.0,32.0,0.0,0.05384033918380737,"the iditarod [[lasts]] for days - this just felt like it did . ",1.0,0.9918729662895203,"the iditarod [[pleases]] for days - this just felt like it did . ","Successful"
0.0,1.0,1.0,0.9942765831947327,"holden caulfield did it better . ",1.0,0.9942765831947327,"holden caulfield did it better . ","Skipped"
0.0,321.0,0.0,0.0010158419609069824,"in its best moments , resembles a [[bad]] high school production of grease , without [[benefit]] of song . ",1.0,0.9975873827934265,"in its best moments , resembles a [[mischievous]] high school production of grease , without [[preponderance]] of song . ","Successful"
1.0,193.0,1.0,0.0002726912498474121,"a delectable and intriguing thriller filled with surprises , read my lips is an [[original]] . ",0.0,0.7104431390762329,"a delectable and intriguing thriller filled with surprises , read my lips is an [[lifeless]] . ","Successful"
0.0,246.0,0.0,0.057879507541656494,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an [[uneven]] tone that you never know when humor ends and tragedy begins . ",1.0,0.9973287582397461,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an [[different]] tone that you never know when humor ends and tragedy begins . ","Successful"
