"num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text"
16.0,1.0,0.4159166216850281,"[[effective]] but too-tepid biopic",0.0,0.5985809564590454,"[[efficacious]] but too-tepid biopic"
423.0,1.0,0.0065729618072509766,"one of the [[greatest]] family-oriented , fantasy-adventure movies ever .",0.0,0.5606930255889893,"one of the [[worst]] family-oriented , fantasy-adventure movies ever ."
206.0,1.0,0.0024276375770568848,"an utterly [[compelling]] 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .",0.0,0.6750001907348633,"an utterly [[incontrovertible]] 'who wrote it' in which the reputation of the most famous author who ever lived comes into question ."
136.0,1.0,0.0174483060836792,"occasionally melodramatic , it's also [[extremely]] effective .",0.0,0.5579683780670166,"occasionally melodramatic , it's also [[excessively]] effective ."
72.0,1.0,0.0020334720611572266,"an idealistic love story that brings out the latent 15-year-[[old]] romantic in everyone .",0.0,0.7907567024230957,"an idealistic love story that brings out the latent 15-year-[[obsolete]] romantic in everyone ."
409.0,1.0,0.0042130351066589355,"ms . fulford-wierzbicki is almost [[spooky]] in her sulky , calculating lolita turn .",0.0,0.5964183807373047,"ms . fulford-wierzbicki is almost [[macabre]] in her sulky , calculating lolita turn ."
336.0,1.0,0.03141295909881592,"like most bond outings in recent years , some of the stunts are so [[outlandish]] that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",0.0,0.5904054045677185,"like most bond outings in recent years , some of the stunts are so [[flamboyant]] that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series ."
468.0,1.0,0.015749812126159668,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a [[refreshingly]] novel ride .",0.0,0.5547558665275574,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a [[blithely]] novel ride ."
305.0,1.0,0.0015015602111816406,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly [[captures]] the intended , er , spirit of the piece .",0.0,0.6543892621994019,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly [[seized]] the intended , er , spirit of the piece ."
422.0,1.0,0.07117784023284912,"disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a [[little]] of both .",0.0,0.5370374321937561,"disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a [[minimal]] of both ."
365.0,1.0,0.010923504829406738,"if this movie were a book , it would be a page-turner , you can't [[wait]] to see what happens next .",0.0,0.5484741926193237,"if this movie were a book , it would be a page-turner , you can't [[hoping]] to see what happens next ."
39.0,1.0,0.003016531467437744,"the movie is a [[blast]] of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .",0.0,0.9441580772399902,"the movie is a [[blowout]] of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes ."
746.0,1.0,0.003380417823791504,"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly [[beautiful]] to look at .",0.0,0.5806814432144165,"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly [[leggy]] to look at ."
10.0,1.0,0.1660030484199524,"while mcfarlane's animation [[lifts]] the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story .",0.0,0.5352405309677124,"while mcfarlane's animation [[hoisting]] the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story ."
29.0,1.0,0.028830111026763916,"a romantic [[comedy]] that operates by the rules of its own self-contained universe .",0.0,0.5754308104515076,"a romantic [[pretense]] that operates by the rules of its own self-contained universe ."
162.0,1.0,0.04018139839172363,"somewhere short of tremors on the modern b-scene : neither as funny nor as clever , [[though]] an agreeably unpretentious way to spend ninety minutes .",0.0,0.6053876876831055,"somewhere short of tremors on the modern b-scene : neither as funny nor as clever , [[despite]] an agreeably unpretentious way to spend ninety minutes ."
377.0,1.0,0.003675401210784912,"it's a minor comedy that tries to balance sweetness with coarseness , while it paints a [[sad]] picture of the singles scene .",0.0,0.7243319749832153,"it's a minor comedy that tries to balance sweetness with coarseness , while it paints a [[miserable]] picture of the singles scene ."
139.0,1.0,0.005432844161987305,"a [[sad]] , superior human comedy played out on the back roads of life .",0.0,0.7299043536186218,"a [[lousy]] , superior human comedy played out on the back roads of life ."
285.0,1.0,0.0648566484451294,"sweet home alabama "" is what it is  a [[nice]] , harmless date film . . .",0.0,0.6071990728378296,"sweet home alabama "" is what it is  a [[super]] , harmless date film . . ."
121.0,1.0,0.0007731914520263672,"watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is [[riveting]] .",0.0,0.6117156744003296,"watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is [[enigmatic]] ."
28.0,1.0,0.04360842704772949,"though this film can [[be]] clumsy , its ambitions are equally -- and admirably -- uncommercial .",0.0,0.5920357704162598,"though this film can [[worden]] clumsy , its ambitions are equally -- and admirably -- uncommercial ."
10.0,1.0,0.3561550974845886,"the [[dangerous]] lives of altar boys' take on adolescence feels painfully true .",0.0,0.5352767705917358,"the [[harmful]] lives of altar boys' take on adolescence feels painfully true ."
105.0,1.0,0.0007362961769104004,"mr . parker has brilliantly updated his source and grasped its essence , composing a [[sorrowful]] and hilarious tone poem about alienated labor , or an absurdist workplace sitcom .",0.0,0.9592130184173584,"mr . parker has brilliantly updated his source and grasped its essence , composing a [[pathetic]] and hilarious tone poem about alienated labor , or an absurdist workplace sitcom ."
82.0,1.0,0.008264899253845215,"behan himself knew how to spin a tale and one can't help but think he'd [[appreciate]] this attempt to turn his life into art .",0.0,0.71425461769104,"behan himself knew how to spin a tale and one can't help but think he'd [[congratulated]] this attempt to turn his life into art ."
76.0,1.0,0.009557068347930908,"one of the [[greatest]] romantic comedies of the past decade .",0.0,0.7491607666015625,"one of the [[worst]] romantic comedies of the past decade ."
0.0,1.0,0.5130129456520081,"it would be interesting to hear from the other side , but in talk to her , the women are down for the count .",1.0,0.5130129456520081,"it would be interesting to hear from the other side , but in talk to her , the women are down for the count ."
140.0,1.0,0.0012196898460388184,"the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply [[sublime]] .",0.0,0.822437584400177,"the film has just enough of everything -- re-enactments , archival footage , talking-head interviews -- and the music is simply [[stupendous]] ."
82.0,1.0,0.014504551887512207,"somewhat blurred , but kinnear's performance is razor [[sharp]] .",0.0,0.6122095584869385,"somewhat blurred , but kinnear's performance is razor [[abrupt]] ."
47.0,1.0,0.007404625415802002,"the film's [[greatest]] asset is how much it's not just another connect-the-dots , spy-on-the-run picture .",0.0,0.751829206943512,"the film's [[worst]] asset is how much it's not just another connect-the-dots , spy-on-the-run picture ."
48.0,1.0,0.001391589641571045,"even with all those rough edges safely sanded down , the american insomnia is still pretty [[darned]] good .",0.0,0.5127127170562744,"even with all those rough edges safely sanded down , the american insomnia is still pretty [[stinkin]] good ."
0.0,1.0,0.5010199546813965,"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable .",1.0,0.5010199546813965,"you could say that it's slow at times , you could say that a few of the characters act in ways that real people wouldn't , but one thing you couldn't say is that alias betty is predictable ."
11.0,1.0,0.0058710575103759766,"an [[amusing]] , breezily apolitical documentary about life on the campaign trail .",0.0,0.6953669786453247,"an [[distracting]] , breezily apolitical documentary about life on the campaign trail ."
14.0,1.0,0.13869744539260864,"post 9/11 the philosophical [[message]] of "" personal freedom first "" might not be as palatable as intended .",0.0,0.511955738067627,"post 9/11 the philosophical [[voicemail]] of "" personal freedom first "" might not be as palatable as intended ."
29.0,1.0,0.03993195295333862,"girls [[gone]] wild and gone civil again",0.0,0.5051695704460144,"girls [[missing]] wild and gone civil again"
7.0,1.0,0.0046048760414123535,"[[boisterous]] , heartfelt comedy .",0.0,0.8470617532730103,"[[rambunctious]] , heartfelt comedy ."
105.0,1.0,0.002431213855743408,"if there's nothing fresh about wannabes , which was written by mr . demeo , who produced and directed the film with charles a . addessi , much of the time the movie feels [[authentic]] .",0.0,0.8037377595901489,"if there's nothing fresh about wannabes , which was written by mr . demeo , who produced and directed the film with charles a . addessi , much of the time the movie feels [[veritable]] ."
64.0,1.0,0.006892383098602295,"a film of precious increments artfully camouflaged as [[everyday]] activities .",0.0,0.6116849780082703,"a film of precious increments artfully camouflaged as [[routine]] activities ."
62.0,1.0,0.004703104496002197,"kinnear gives a [[tremendous]] performance .",0.0,0.5128092765808105,"kinnear gives a [[stupendous]] performance ."
0.0,1.0,0.572515070438385,"the movie has an avalanche of eye-popping visual effects .",1.0,0.572515070438385,"the movie has an avalanche of eye-popping visual effects ."
40.0,1.0,0.07358765602111816,"the whole cast looks to be having so much [[fun]] with the slapstick antics and silly street patois , tossing around obscure expressions like bellini and mullinski , that the compact 86 minutes breezes by .",0.0,0.6237016320228577,"the whole cast looks to be having so much [[droll]] with the slapstick antics and silly street patois , tossing around obscure expressions like bellini and mullinski , that the compact 86 minutes breezes by ."
93.0,1.0,0.009239554405212402,"there are moments in this account of the life of artist frida kahlo that are among cinema's finest this year . [[unfortunately]] , they're sandwiched in between the most impossibly dry account of kahlo's life imaginable .",0.0,0.9185016751289368,"there are moments in this account of the life of artist frida kahlo that are among cinema's finest this year . [[pathetically]] , they're sandwiched in between the most impossibly dry account of kahlo's life imaginable ."
