"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,474.0,0.0,0.014329493045806885,"unflinchingly [[bleak]] and desperate ",1.0,0.9959059953689575,"unflinchingly [[wild]] and desperate ","Successful"
1.0,214.0,1.0,0.003972053527832031,"the acting , costumes , music , cinematography and sound are all astounding [[given]] the production 's austere locales . ",0.0,0.9991056323051453,"the acting , costumes , music , cinematography and sound are all astounding [[alienated]] the production 's austere locales . ","Successful"
0.0,1142.0,0.0,0.0020480751991271973,"it 's [[slow]] -- very , very [[slow]] . ",1.0,0.9926697611808777,"it 's [[unhurried]] -- very , very [[unhurried]] . ","Successful"
1.0,2890.0,1.0,0.00023382902145385742,"it 's a [[charming]] and [[often]] [[affecting]] journey . ",0.0,0.9993035793304443,"it 's a [[prepossessing]] and [[ordinarily]] [[shaming]] journey . ","Successful"
1.0,2925.0,1.0,0.0004261136054992676,"[[allows]] us to [[hope]] that nolan is poised to embark a [[major]] career as a commercial yet inventive filmmaker . ",0.0,0.9562489986419678,"[[dooms]] us to [[wish]] that nolan is poised to embark a [[rudimentary]] career as a commercial yet inventive filmmaker . ","Successful"
0.0,1967.0,0.0,0.003931403160095215,"a [[sometimes]] tedious film . ",1.0,0.9989765286445618,"a [[seldom]] tedious film . ","Successful"
1.0,11.0,1.0,0.0003604888916015625,"you do n't have to know about music to appreciate the film 's [[easygoing]] blend of comedy and romance . ",0.0,0.9915616512298584,"you do n't have to know about music to appreciate the film 's [[unused]] blend of comedy and romance . ","Successful"
0.0,2554.0,0.0,0.005927860736846924,"or doing [[last]] [[year]] 's [[taxes]] with your ex-wife . ",1.0,0.9988011717796326,"or doing [[well]] [[millennium]] 's [[collections]] with your ex-wife . ","Successful"
1.0,5437.0,1.0,0.00034546852111816406,"the mesmerizing performances of the leads [[keep]] the film [[grounded]] and [[keep]] the audience riveted . ",0.0,0.9366006255149841,"the mesmerizing performances of the leads [[store]] the film [[soiled]] and [[stash]] the audience riveted . ","Successful"
1.0,5435.0,1.0,0.00036346912384033203,"although laced with humor and a few fanciful touches , the film is a [[refreshingly]] [[serious]] look at young women . ",0.0,0.9604147672653198,"although laced with humor and a few fanciful touches , the film is a [[auspiciously]] [[sore]] look at young women . ","Successful"
0.0,4874.0,0.0,0.0010519623756408691,"it takes a [[strange]] kind of [[laziness]] to [[waste]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",1.0,0.998359203338623,"it takes a [[miraculous]] kind of [[sloth]] to [[lavish]] the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","Successful"
1.0,1.0,0.0,0.6413271427154541,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",0.0,0.6413271427154541,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","Skipped"
0.0,7453.0,0.0,0.0006940364837646484,"... the [[film]] [[suffers]] from a lack of humor ( something [[needed]] to [[balance]] out the violence ) ... ",1.0,0.8600566983222961,"... the [[positive]] [[encounters]] from a lack of humor ( something [[appealed]] to [[appreciate]] out the violence ) ... ","Successful"
0.0,14470.0,0.0,0.002961397171020508,"in [[exactly]] 89 minutes , most of which [[passed]] as slowly as if i 'd been sitting naked on an igloo , formula 51 [[sank]] from quirky to jerky to utter [[turkey]] . ",1.0,0.75229412317276,"in [[right]] 89 minutes , most of which [[transcended]] as slowly as if i 'd been sitting naked on an igloo , formula 51 [[broke]] from quirky to jerky to utter [[falcon]] . ","Successful"
1.0,34.0,1.0,0.0006905794143676758,"the emotions are [[raw]] and will strike a nerve with anyone who 's ever had family trauma . ",0.0,0.9963292479515076,"the emotions are [[poor]] and will strike a nerve with anyone who 's ever had family trauma . ","Successful"
1.0,6416.0,1.0,0.0003737211227416992,"audrey tatou has a knack for picking roles that magnify her outrageous [[charm]] , and in this [[literate]] french comedy , she 's as morning-glory [[exuberant]] as she was in amélie . ",0.0,0.8132790327072144,"audrey tatou has a knack for picking roles that magnify her outrageous [[arrest]] , and in this [[liberal]] french comedy , she 's as morning-glory [[terrible]] as she was in amélie . ","Successful"
0.0,73.0,0.0,0.0008032917976379395,"... the movie is just a [[plain]] old monster . ",1.0,0.9891848564147949,"... the movie is just a [[outstanding]] old monster . ","Successful"
0.0,2978.0,0.0,0.0010158419609069824,"in its best moments , resembles a [[bad]] [[high]] school production of grease , without [[benefit]] of song . ",1.0,0.9976493716239929,"in its best moments , resembles a [[mischievous]] [[dear]] school production of grease , without [[preponderance]] of song . ","Successful"
0.0,65.0,0.0,0.057879507541656494,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an [[uneven]] tone that you never know when humor ends and tragedy begins . ",1.0,0.9973287582397461,"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an [[different]] tone that you never know when humor ends and tragedy begins . ","Successful"
0.0,10.0,0.0,0.05384033918380737,"the iditarod [[lasts]] for days - this just felt like it did . ",1.0,0.9918729662895203,"the iditarod [[pleases]] for days - this just felt like it did . ","Successful"
0.0,1.0,1.0,0.9942765831947327,"holden caulfield did it better . ",1.0,0.9942765831947327,"holden caulfield did it better . ","Skipped"
1.0,47.0,1.0,0.0002726912498474121,"a delectable and intriguing thriller filled with surprises , read my lips is an [[original]] . ",0.0,0.7104431390762329,"a delectable and intriguing thriller filled with surprises , read my lips is an [[lifeless]] . ","Successful"
1.0,126.0,1.0,0.0013270378112792969,"seldom has a movie so closely [[matched]] the spirit of a man and his work . ",0.0,0.8803240656852722,"seldom has a movie so closely [[beaten]] the spirit of a man and his work . ","Successful"
1.0,8799.0,1.0,0.0002505183219909668,"a [[gorgeous]] , high-spirited musical from india that [[exquisitely]] [[blends]] music , [[dance]] , song , and [[high]] drama . ",0.0,0.5053220987319946,"a [[comely]] , high-spirited musical from india that [[suavely]] [[dissolves]] music , [[travesty]] , song , and [[costly]] drama . ","Successful"
0.0,6031.0,0.0,0.0072307586669921875,"nicks , [[seemingly]] uncertain what 's going to make people laugh , [[runs]] the gamut from [[stale]] parody to raunchy sex gags to formula romantic comedy . ",1.0,0.9902346730232239,"nicks , [[before]] uncertain what 's going to make people laugh , [[stirs]] the gamut from [[shopworn]] parody to raunchy sex gags to formula romantic comedy . ","Successful"
0.0,2140.0,0.0,0.009872257709503174,"the action [[switches]] between past and present , but the material [[link]] is too [[tenuous]] to anchor the emotional connections that purport to span a 125-year divide . ",1.0,0.678077757358551,"the action [[articulates]] between past and present , but the material [[couple]] is too [[fine]] to anchor the emotional connections that purport to span a 125-year divide . ","Successful"
