"num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text"
7.0,1.0,0.4159166216850281,"[[effective]] but too-tepid biopic",0.0,0.5985807180404663,"[[efficacious]] but too-tepid biopic"
229.0,1.0,0.0011255145072937012,"the rock is [[destined]] to be the 21st century's new "" conan "" and that he's going to make a [[splash]] even [[greater]] than arnold schwarzenegger , jean-claud van damme or steven segal .",0.0,0.5637130737304688,"the rock is [[intentioned]] to be the 21st century's new "" conan "" and that he's going to make a [[spatter]] even [[most]] than arnold schwarzenegger , jean-claud van damme or steven segal ."
302.0,1.0,0.009527146816253662,"if you sometimes like to go to the movies to have [[fun]] , wasabi is a [[good]] [[place]] to start .",0.0,0.8054165840148926,"if you sometimes like to go to the movies to have [[amusement]] , wasabi is a [[allright]] [[mise]] to start ."
274.0,1.0,0.0034493207931518555,"emerges as something [[rare]] , an issue movie that's [[so]] honest and [[keenly]] observed that it doesn't feel like one .",0.0,0.8373984098434448,"emerges as something [[scant]] , an issue movie that's [[hence]] honest and [[impatiently]] observed that it doesn't feel like one ."
112.0,1.0,0.013805150985717773,"offers that [[rare]] [[combination]] of entertainment and education .",0.0,0.7564718723297119,"offers that [[scant]] [[mixing]] of entertainment and education ."
449.0,1.0,0.003539144992828369,"the film [[provides]] some [[great]] [[insight]] into the [[neurotic]] [[mindset]] of all comics -- even those who have reached the absolute top of the game .",0.0,0.6901030540466309,"the film [[prescribes]] some [[gargantuan]] [[premonition]] into the [[narcissistic]] [[psychotropic]] of all comics -- even those who have reached the absolute top of the game ."
692.0,1.0,0.004031181335449219,"the gorgeously elaborate [[continuation]] of "" the lord of the rings "" trilogy is so [[huge]] that a column of words cannot adequately describe co-writer/director peter jackson's expanded [[vision]] of j . [[r]] . r . tolkien's middle-earth .",0.0,0.6800420880317688,"the gorgeously elaborate [[pursuit]] of "" the lord of the rings "" trilogy is so [[gargantuan]] that a column of words cannot adequately describe co-writer/director peter jackson's expanded [[idea]] of j . [[rupees]] . r . tolkien's middle-earth ."
171.0,1.0,0.020573019981384277,"steers turns in a snappy screenplay that curls at the edges ; it's so [[clever]] you want to hate it . but he somehow [[pulls]] it off .",0.0,0.6305546164512634,"steers turns in a snappy screenplay that curls at the edges ; it's so [[shrewd]] you want to hate it . but he somehow [[withdrawals]] it off ."
392.0,1.0,0.00670933723449707,"perhaps no picture ever made has more literally showed that the road to [[hell]] is [[paved]] with [[good]] intentions .",0.0,0.6824232339859009,"perhaps no picture ever made has more literally showed that the road to [[shit]] is [[surfaced]] with [[opportune]] intentions ."
183.0,1.0,0.0034134387969970703,"this is a film [[well]] worth [[seeing]] , [[talking]] and singing heads and all .",0.0,0.6522160172462463,"this is a film [[too]] worth [[believe]] , [[schmooze]] and singing heads and all ."
